Entity,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,10795850106.9547,10492628915.4927,11152971316.074,11045759468.9412,8313557450.25213,11000146839.497,12139234938.7863,11722142706.1278,12612033728.8572,12376639822.9265,10717022462.6859,11192560827.2962,12346919216.1359,15306602560.2533,16554441846.5192,17084928927.4555,17800887796.4987,20343635319.6174,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,27040562587.1771,31273049200.243,35372603446.2605,33145096414.0731,36374849865.0472,40388624117.1109,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,11151578050.7356,12434370004.9586,11396310990.2197,15498179313.0425,10600157683.8412,9643953174.77349,10513387441.6194,10833497457.5123,10612847429.35,11198378749.4719,10083937740.0624,10371327756.4548,11579343088.1613,14548845764.5325,17430933517.2998,17944084201.4901,19356046327.8995,22365265025.66,26409781215.1844,26017925551.8426,26143818509.6421,29337006833.0825,29104437355.0395,32348149947.3727,34942948737.3967,30916218544.4404,32217537942.6644,34798596482.4274,
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,9349764580.36997,9625436872.51075,8227343907.26679,10706259936.7425,5820382248.28202,5643439376.10491,5771454939.62404,6090840548.18784,6215591269.89747,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14451902467.9315,16737071816.4195,19788515873.9704,18648373312.3884,21565722425.0028,25839749198.7761,29306223081.1458,32671683662.2385,35917650629.612,37917704900.1192,34991160099.7415,37241300948.659,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2798746050.58228,2724853592.73382,2933222714.11506,1918970032.40865,1769365425.04053,2116003977.97529,2540697688.05698,2322718991.26458,1949481296.60762,2353909563.94122,3219910550.39332,2794259783.08097,3019993738.77492,3495868808.0512,4648628921.36969,6087003176.11624,7731261310.93322,8394688284.06224,11859013280.9951,9593537550.75063,12007880438.6232,14425607179.6639,13677930123.5919,14085851348.069,14177437982.2619,8553154580.39951,7833508878.9666,8722553000.83526,
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,40274204595.2296,41239551378.2482,49279585355.0948,55802538219.0264,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98203546156.3102,97933391976.083,94684584162.773,117074863821.85,146566264837.014,162590146096.414,207416494642.379,243982437870.84,233821670544.258,287018184637.529,335415156702.186,369659700375.52,380191881860.372,378195716714.266,291519591532.951,280090999648.115,309191382833.365,
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,250030760.754786,246823428.906664,266191040.373328,263568114.445462,185761822.560488,231896229.562629,230495751.446593,212099634.697751,215394066.068976,222580453.753844,203846427.738737,220093812.206791,246737679.472106,317562269.371106,368143118.68996,380372892.606774,406111873.539847,462453582.873627,523134896.968654,524157261.014644,530493353.218937,586281766.75997,570865941.229395,618663921.86116,647720707.076428,565689764.632629,616654490.413179,648920942.738052,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,306891107.262039,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979069.274683,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1850951315.39815,1858121723.32185,1596154666.48019,1638927335.6211,1753736711.67273,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,7403457319.20472,7168999428.24471,8528593084.48749,9537297507.16915,10432619390.3609,11513472693.8707,11618286553.3677,12552071367.1539,13617405420.1174,14195623424.811,14949514585.1585,15913363335.0564,16504795453.2822,17195867540.353,18529767934.4743,19952156474.8454,22600431878.0024,26743874205.9404,30612932876.4403,30562361123.0307,37268635287.0856,42262697840.385,46473128285.5589,49745088111.6953,50577769837.7462,54775972988.7322,56988989896.6368,57057372468.0383,
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,17884432791.0585,17668489749.3516,17396950399.0947,18799958621.3464,19800879060.9392,21894409923.2612,23905346738.7674,28028091570.1083,29774471520.1742,31742034842.5458,34061559104.9342,35068207713.7956,36872616586.5051,39421593800.2337,43139861259.3286,48786092029.7599,54618160956.421,60670805979.8119,68875542818.2652,58049437076.4319,63131259584.2842,68378335169.7987,70576655404.2623,71378769877.4924,72525038827.606,70918077436.8624,67787681466.0811,69331419650.596,
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,28645436569.1489,24316556025.6585,22085858243.2432,22367254864.8649,28448326756.7568,30429803651.2192,25017300000,25366200000,25736331247.1786,28364615241.6894,30565400000,31682400000,33590500000,35901200000,38203000000,42643836074.8,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656100000,87132800000,,,
